Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Elected/Nominated,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
2516,Uttarakhand,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/MP850/2025-2026/174621,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Shri Naresh Bansal (2020-26) (2020-2026),Elected MP,,Gulab singh,Payment Success,520170
2517,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18331/2025-2026/236687,MATHURA(DISTRICT MAGISTRAE MATHURA_IDA),Shri Tejveer Singh (2024-30) (2024-2030),Elected MP,,SHIVANCHAL ENTERPRISES AND TRANING CENTER,Payment Success,743400
2518,Kerala,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP096/2025-2026/181262,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Shri Abdul Wahab (2021-27) (2021-2027),Elected MP,,IT PROFESSIONALS CO OPERATIVE SOCEITY,Payment Success,141750
2519,Madhya Pradesh,Development of playfields and sports grounds,WS/MP104/2025-2026/218146,PANNA(DISTRICT COLLECTOR PANNA_IDA),Dr. L. Murugan (2024-30) (2024-2030),Elected MP,,E E M P H AND I D B DIV DAMOH,Payment Success,12000000
2520,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP086/2025-2026/255728,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri G.C. Chandrashekhar (2024-30) (2024-2030),Elected MP,,VIJAYA KUMARA N,Payment Success,499448
2521,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP086/2025-2026/255730,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri G.C. Chandrashekhar (2024-30) (2024-2030),Elected MP,,G BYLAPPA,Payment Success,499448
2522,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP086/2025-2026/255710,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri G.C. Chandrashekhar (2024-30) (2024-2030),Elected MP,,G BYLAPPA,Payment Success,498434
2523,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP086/2026-2027/263791,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri G.C. Chandrashekhar (2024-30) (2024-2030),Elected MP,,G BYLAPPA,Payment Success,499286
2524,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP086/2026-2027/263795,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri G.C. Chandrashekhar (2024-30) (2024-2030),Elected MP,,G BYLAPPA,Payment Success,498885
2525,Uttar Pradesh,Street lights,WS/MP181/2025-2026/239788,MEERUT(DISTRICT MAGISTRATE MEERUT_IDA),Dr. Laxmikant Bajpayee (2022-28) (2022-2028),Elected MP,,Jai Ambey Suppliers,Payment Success,1079800
2526,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP147/2025-2026/213135,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),Shri Pramod Tiwari (2022-28) (2022-2028),Elected MP,,MAA SWANGIYA CONSTRUCTION COMPANY,Payment Success,1154437
