Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Elected/Nominated,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date
2817,Normal/Others,WS/MP141/2023-2024/80693-Street lights,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,street lights,2024-01-12,258000,2024-02-29
2818,Normal/Others,"WS/MP189/2023-2024/80903-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Shri Kapil Sibal (2022-28) (2022-2028),Elected MP,Construction of Balance C.C. Road near Karil Vriksh,2024-01-12,1479633,2024-03-14
2819,Normal/Others,WS/MP188/2023-2024/80940-Construction of stadiums,Uttar Pradesh,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Jayant Chaudhary (2022-28) (2022-2028),Elected MP,"The total amount for the proposed works in connection to the stadium is Rs 1,11,65,000 as per the latest revised estimate received from the Muzzafarnagar district administration. However, Rs 87,35,000 (as per the first estimate) has already been released at an earlier stage. Thus, the remaining Rs 24,30,000 is being sanctioned now from my end towards the completion of the necessary works of the stadium. The stadium will be located in the land of Junior High School, Sautu (block - Shahpur)",2024-01-12,2430000,2024-03-16
2820,Normal/Others,WS/MP103/2023-2024/80984-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat nalchha Block nalchha,2024-01-12,205000,2024-03-01
2821,Normal/Others,WS/MP103/2023-2024/80985-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat bagdi Block nalchha,2024-01-12,205000,2024-03-01
2822,Normal/Others,WS/MP103/2023-2024/80986-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat talwadaBlock nalchha,2024-01-12,205000,2024-03-01
2823,Normal/Others,WS/MP103/2023-2024/80987-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat Bedwapura Block nalchha,2024-01-12,205000,2024-03-01
2824,Normal/Others,WS/MP103/2023-2024/80988-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter With Fire Fighter PUMP inGram Panchayat Nimbola Block Dharampuri,2024-01-12,205000,2024-03-01
2825,Normal/Others,WS/MP103/2023-2024/80989-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter With Fire Fighter PUMP in GP Bikhron Block Dharampuri,2024-01-12,205000,2024-03-01
2826,Normal/Others,WS/MP103/2023-2024/80990-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter with Fire Fighter PUMP in Gram Panchayat Khalghat Block Dharampuri,2024-01-12,205000,2024-03-01
2827,Normal/Others,WS/MP103/2023-2024/80991-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat Gujri Block Dharampuri,2024-01-12,205000,2024-03-01
2828,Normal/Others,WS/MP103/2023-2024/80992-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter with Fire Fighter PUMP in Gram Panchayat Chikatyabad Block Dharampuri,2024-01-12,205000,2024-03-01
2829,Normal/Others,WS/MP103/2023-2024/80993-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter with Fire Fighter PUMP in Gram Panchayat Dhapla Block Dharampuri,2024-01-12,205000,2024-03-01
2830,Normal/Others,WS/MP103/2023-2024/80994-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter with Fire Fighter PUMP in Gram Panchayat Sundrel Block Dharampuri,2024-01-12,205000,2024-03-01
2831,Normal/Others,WS/MP103/2023-2024/80995-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat Asukhedi Block Nalchha,2024-01-12,205000,2024-03-01
2832,Normal/Others,WS/MP103/2023-2024/80996-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat Ghatgara Block Badnawar,2024-01-12,205000,2024-03-01
2833,Normal/Others,WS/MP103/2023-2024/80997-Purchase of mobile water tankers,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,Water tanker capacity 5000 Liter with Fire fighter PUMP in Gram Panchayat Aali Block Nalchha,2024-01-12,205000,2024-03-01
2834,Normal/Others,WS/MP192/2023-2024/81141-Lighting of public spaces,Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Lighting of public spaces.(Eight light wali) , Village Chiti me Shamshan ghat par Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nandu Pradhan-9548460570",2024-01-12,660000,2024-03-07
2835,Normal/Others,WS/MP192/2023-2024/81142-Lighting of public spaces,Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Lighting of public spaces.(Eight light wali) , Village shiwali mandir Jaitwar Piyawali ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nitesh Sishodiya-9717662250",2024-01-12,481715,2024-03-07
2836,Normal/Others,WS/MP192/2023-2024/81143-Lighting of public spaces,Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Lighting of public spaces.(Eight light wali) , Village Thakurdwara Mandir Piyawali Tajpur par. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nitesh Sishodiya -9717662250",2024-01-12,659782,2024-03-07
2837,Normal/Others,WS/MP192/2023-2024/81144-Lighting of public spaces,Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Lighting of public spaces.(Eight light wali) , Village Durga mandir Jaitwar Piyawali me. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nitesh Sishodiya -9717662250",2024-01-12,659782,2024-03-07
2838,Normal/Others,WS/MP192/2023-2024/81145-Lighting of public spaces,Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Lighting of public spaces.(Eight light wali) , Village Baba Darmshala ke gher Jaitwarpur Piyawali ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nitesh Sishodiya -9717662250",2024-01-12,659782,2024-03-07
2839,Normal/Others,WS/MP192/2023-2024/81146-Lighting of public spaces,Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Lighting of public spaces.(Eight light wali) , Village Duriyai Panchayat ghar ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Veerpal Pradhan 9350008896",2024-01-12,659782,2024-03-07
2840,Normal/Others,WS/MP192/2023-2024/81147-Lighting of public spaces,Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Lighting of public spaces.(Eight light wali) , Village Tilapta me Veer singh Pradhan ke ghar ke pass chok par. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Sundar Pradhan 9313952075",2024-01-12,659782,2024-03-07
2841,Normal/Others,WS/MP192/2023-2024/81148-Lighting of public spaces,Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Lighting of public spaces.(Eight light wali) , Village Luhari me Jatav Colony Mandir ke pass. chok par. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Narendra Pradhan-9412225222",2024-01-12,659782,2024-03-07
