Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Elected/Nominated,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date
4142,Normal/Others,WS/MP095/2024-2025/133331-Development of playfields and sports grounds,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Shri A. A. Rahim (2022-28) (2022-2028),Elected MP,Construction of Turf in Manvila Stadium,2024-07-12,4865261,2024-10-04
4143,Normal/Others,"WS/MP18302/2024-2025/133332-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2),Shri Sanjay Seth (2024-30) (2024-2030),Elected MP,Interlocking road 350 mtr,2024-07-10,2500000,2024-09-20
4144,Normal/Others,"WS/MP183/2024-2025/133349-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA),Prof. Ram Gopal Yadav (2020-26) (2020-2026),Elected MP,"BLOCK- SHIKOHABAD, GRAM PUNACHCHHA MEIN DAUJI KE MANDIR SE PANCHAYAT GHAR TAK SAMPARK MARG PAR RCC NIRMAN, Legnth=130 Mtrs., Width=3.5 Mtrs. Cost= 13Lac.",2024-07-11,1297000,2024-10-17
4145,Normal/Others,"WS/MP183/2024-2025/133350-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA),Prof. Ram Gopal Yadav (2020-26) (2020-2026),Elected MP,"GRAM SELAI, WARD NO.-1, NEW AABADI RAVIDAS NAGAR MEIN, MAIN ROAD 16ft. PAR, INTERLOCKING WORKS, Length= 300Mtrs. Cost= 21. Lacs.",2024-07-11,2100000,2024-10-17
4146,Normal/Others,"WS/MP183/2024-2025/133372-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA),Prof. Ram Gopal Yadav (2020-26) (2020-2026),Elected MP,"BLOCK-TUNDLA, GRAM PANCHAYAT ANWARA KE MAJRA NAGLA LALLU MEIN KABRISTAN SE MUNNESH PRADHAN KE PLOT TAK RCC & NALI NIRMAN. Length= 1Km. Cost=91 Lac.",2024-07-11,9100000,2024-10-17
4147,Normal/Others,"WS/MP096/2024-2025/133403-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Shri Abdul Wahab (2021-27) (2021-2027),Elected MP,"Construction of Kummanam Palli ambooram road /pathway, Ward No.07, Thiruvarpp Panchayat",2024-07-12,446326,2024-07-23
4148,Normal/Others,"WS/MP096/2024-2025/133405-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Shri Abdul Wahab (2021-27) (2021-2027),Elected MP,"Construction of Shaji Sathanam - Mundolikadavu road/pathway, Ward No.10, Vellavoor Panchayat",2024-07-12,684603,2024-08-07
4149,Normal/Others,"WS/MP096/2024-2025/133407-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Shri Abdul Wahab (2021-27) (2021-2027),Elected MP,"Construction of side protection at Plappalli - Manthindi SC/ST Colony Road/pathway, Ward No. 03, Koottikkal Panchayat (SC)",2024-07-12,986777,2024-07-23
4150,Normal/Others,WS/MP007/2024-2025/133410-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in front of Sandeep Saw house Ward No.-32 Laxmi Nagar Bhatti Gali under Ranchi urban area",2024-07-12,484000,2024-08-20
4151,Normal/Others,WS/MP007/2024-2025/133411-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in front of Jitendr House Ward No.-32 near Laxmi Nagar Anand Bhawan under Ranchi urban area",2024-07-12,484000,2024-08-20
4152,Normal/Others,WS/MP007/2024-2025/133412-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in front of Bharti Devi House Ward No.-32 under Laxmi Nagar S. C Academy School under Ranchi urban area",2024-07-12,484000,2024-08-20
4153,Normal/Others,WS/MP007/2024-2025/133413-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in front of Vinod Singh House Under Ward No.-28 Devi Mandap Row, Shakti Nagar Madhukam Road No.-5 under Ranchi urban area",2024-07-12,484000,2024-08-20
4154,Normal/Others,NA-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in front of Oxford Hospital Ward No.-34 Sahdeo Nagar Ratu Road under Ranchi urban area",2024-07-12,484000,NA
4155,Normal/Others,NA-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in near Shiv Temple Daily Market under ward 16 Ranchi urban area",2024-07-12,484000,NA
4156,Normal/Others,WS/MP007/2024-2025/133416-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in front of Ramu garage before kadru bridge ward 24 under Ranchi urban area",2024-07-12,484000,2024-08-20
4157,Normal/Others,WS/MP007/2024-2025/133417-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in near Blind Colony, Khadgada Bus stand Ward No.13 under Ranchi urban area",2024-07-12,484000,2024-08-20
4158,Normal/Others,WS/MP007/2024-2025/133418-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in besides Chutiya Sarna Sthal New Ambedkar nagar Bhatti Toli under Ward No. 14 under Ranchi urban area",2024-07-12,484000,2024-08-20
4159,Normal/Others,WS/MP007/2024-2025/133419-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in front of sagar Nayak house Bhatti toli chutiya ward number 14 under Ranchi urban area",2024-07-12,484000,2024-08-20
4160,Normal/Others,WS/MP007/2024-2025/133420-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in front of Dinesh Rai House Shiv mandir Dwarkapuri road No.8 under ward No 46 under Ranchi urban area",2024-07-12,484000,2024-08-20
4161,Normal/Others,WS/MP007/2024-2025/133421-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in front of Shiv house Shiv mandir Dwarkapuri road No.8 under ward No 46 under Ranchi urban area",2024-07-12,484000,2024-08-20
4162,Normal/Others,WS/MP007/2024-2025/133422-Installing tube-wells and borewells,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Boring , Construction of Platform , Installation of Water Tank , Submersible Pump etc in near Upgraded Primary school karbala chowk ol karbala chowk under ward No 16 under Ranchi urban area",2024-07-12,484000,2024-08-20
4163,Normal/Others,WS/MP007/2024-2025/133424-Construction of common work sheds/ common covered sitting area,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of shed near CNI Church Kanta Toli Ward No.-13 Under Ranchi urban area,2024-07-12,680000,2024-07-30
4164,Normal/Others,WS/MP007/2024-2025/133425-Construction of common work sheds/ common covered sitting area,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of shed and Paver block laying near Sarna Site ward No.-28 Irgu Toli under Ranchi Urban Area.,2024-07-12,980000,2024-07-30
4165,Normal/Others,"WS/MP007/2024-2025/133426-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Paver block laying work near Sarna site in Rugdi Gadha Ward No.-34 under Ranchi Urban Area.,2024-07-12,765000,2024-07-30
4166,Normal/Others,"WS/MP007/2024-2025/133427-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Paver block laying work near Old Ranchi Ward No.-21 Dhumkudiya Bhawan under Ranchi Urban Area.,2024-07-12,700000,2024-07-30
4167,Normal/Others,"WS/MP007/2024-2025/133428-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Paver block laying work near urdu middle school church road ward 16 under Ranchi urban area,2024-07-12,640000,2024-07-30
4168,Normal/Others,WS/MP007/2024-2025/133429-Construction of common work sheds/ common covered sitting area,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of Shed near Muktidham Masna in Harmu Road Ward No.-28 under Ranchi Urban Area.,2024-07-12,735000,2024-07-30
4169,Normal/Others,WS/MP007/2024-2025/133430-Construction of common work sheds/ common covered sitting area,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of Shed and paver block laying work near sarna site in Lalpur ward 11 under Ranchi urban area,2024-07-12,630000,2024-07-30
4170,Normal/Others,"WS/MP007/2024-2025/133431-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Paver block laying in Ward 13 Disco colony under Ranchi urban area work,2024-07-12,480000,2024-07-30
4171,Normal/Others,"WS/MP007/2024-2025/133432-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Paver block laying work near Primary middle school Makchund toli ward 13 under Ranchi urban area,2024-07-12,590000,2024-07-30
4172,Normal/Others,WS/MP007/2024-2025/133433-Construction of common work sheds/ common covered sitting area,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of shed near Nayak pond ward 16 under Ranchi urban area,2024-07-12,760000,2024-07-30
4173,Normal/Others,WS/MP007/2024-2025/133434-Construction of common work sheds/ common covered sitting area,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of shed near Akhara site in Lal Serum Toli Ward no. 14 under Ranchi urban area.,2024-07-12,630000,2024-07-30
4174,Normal/Others,WS/MP007/2024-2025/133435-Construction of common work sheds/ common covered sitting area,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of Shed near Dhumkudiya Bhawan Hindpidi ward No. 22 under Ranchi Urban area,2024-07-12,785000,2024-07-30
4175,Normal/Others,WS/MP007/2024-2025/133436-Construction of common work sheds/ common covered sitting area,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Construction of Shed, Platform and Paver block laying near sarna site Old Ranchi ward No 21 under Ranchi urban area",2024-07-12,1175000,2024-07-30
4176,Normal/Others,"WS/MP007/2024-2025/133437-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of PCC Road In Ekta lane Dangra toli ward No 16 under Ranchi Urban Area,2024-07-12,340000,2024-07-30
4177,Normal/Others,"WS/MP007/2024-2025/133438-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of Platform and paver block laying work near Akhara Lalpur ward 11 under Ranchi Urban area,2024-07-12,485000,2024-07-30
4178,Normal/Others,WS/MP007/2024-2025/133439-Construction of toilet blocks,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Construction of toilet near Vipan Girls Middle School, Ward 14 Chutiya under Ranchi urban area",2024-07-12,775000,2024-07-30
4179,Normal/Others,WS/MP007/2024-2025/133440-Construction of toilet blocks,Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of toilet near SPG Middle school ward 14 Chutiya under Ranchi Urban area,2024-07-12,880000,2024-07-30
4180,Normal/Others,"WS/MP007/2024-2025/133441-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Construction of PCC road in Dumsa toli, ward 13 under ranchi urban area",2024-07-12,950000,2024-07-30
4181,Normal/Others,"WS/MP007/2024-2025/133442-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,Construction of PCC raod in Netaji Nagar Street No 8 Ward 13 under Ranchi Urabn area,2024-07-12,465000,2024-07-30
4182,Normal/Others,WS/MP007/2024-2025/133443-Construction of community centers and community halls,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,"Construction of community halls for Social work Momi , Karharbari Chaurasi Panchayat Near Yogitandh Giridih",2024-07-12,1149644,2024-10-15
4183,Normal/Others,WS/MP108/2024-2025/133457-Purchase of furniture and fixtures for educational purposes,Maharashtra,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),Elected MP,"supply of desk benches at Shrinath High school, Anjangaon Surji, Amravati.",2024-07-16,1500000,2024-08-01
4184,Repair and Renovation,WS/MP181/2025-2026/133478-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Uttar Pradesh,SHAMLI(DISTRICT MAGISTRATE SHAMLI_IDA),Dr. Laxmikant Bajpayee (2022-28) (2022-2028),Elected MP,,2024-07-13,1430468,2025-10-09
4185,Normal/Others,WS/MP147/2024-2025/133481-Construction of public libraries and reading rooms,Rajasthan,Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA),Shri Pramod Tiwari (2022-28) (2022-2028),Elected MP,For the construction work of public bus stand (passenger waiting room) and toilet in front of Vivekananda Shiksha Samiti in Alakhpura in Panchayat Samiti Maulasar. Revised: Working Agency is Gram Panchayat Alakhpura.,2024-07-13,1297000,2024-12-19
4186,Normal/Others,NA-Construction of buildings for sports facilities,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028),Elected MP,"Puluj, Tal. Pandharpur, Vyayam Sahala Building Construction",2024-07-15,2500000,NA
4187,Normal/Others,WS/MP106/2024-2025/133526-Purchase of hospital equipment,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Civil Hospital Gadarwara, District Narsinghpur ke liye ek nag Blood Bank Refrigrator Capacity-120 Bags, Modle-AS120 with 2 years Warranty and Including all taxes",2024-07-15,200600,2025-03-04
4188,Normal/Others,WS/MP108/2024-2025/133527-Construction of community centers and community halls,Maharashtra,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),Elected MP,"construction of community hall in village Warha in Morshi tehsil, Amravati",2024-08-07,2000000,2025-01-21
4189,Normal/Others,WS/MP108/2024-2025/133529-Development of public parks,Maharashtra,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),Elected MP,Development of public parks peving blocks.,2024-08-27,500000,2024-10-14
4190,Normal/Others,WS/MP108/2024-2025/133530-Construction of community centers and community halls,Maharashtra,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),Elected MP,NA,2024-07-18,1000000,2024-09-20
4191,Normal/Others,WS/MP112/2025-2026/133532-Construction of buildings for sports facilities,Maharashtra,KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA),Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028),Elected MP,"Malatwadi, Tal.Chandgad, Vyayamshala Building Construction",2024-07-16,999999,2025-07-16
4192,Normal/Others,"WS/MP112/2024-2025/133533-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA),Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028),Elected MP,"Satarde, Tal.Panhala. Bailvar Hill To Waghjai Road",2024-07-16,1500000,2025-01-10
4193,Normal/Others,WS/MP132/2024-2025/133534-Construction of culverts and bridges,Odisha,MALKANGIRI(District Collector Malkangiri_IDA),Shri Manas Ranjan Mangaraj (2022-28) (2022-2028),Elected MP,"Construction of Guard Wall and Culvert in Singarajkhunta village of Malkangiri Block, Dist- Malkangiri",2024-07-16,1000000,2025-01-22
4194,Normal/Others,WS/MP132/2024-2025/133615-Construction of community centers and community halls,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Shri Manas Ranjan Mangaraj (2022-28) (2022-2028),Elected MP,"Construction of Community Center in Mormorsinghapatna village under Tangi Block, Dist- Khurdha",2024-07-17,500000,2024-11-28
4195,Normal/Others,"WS/MP001/2024-2025/133637-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Construction work of PCC Road 2Abhay kumar house to Suryakant’s Plot in Phulwari Municipaol ward no-28 under Phulwarisarif of Patna District,2024-07-17,1494650,2024-08-09
4196,Normal/Others,"WS/MP001/2024-2025/133638-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Construction work of PCC Road 3Ravindranath thakur house to Lalji chaudary house in Vrindavan colony Road no-1 Under Phulwarisarif of Patna District,2024-07-17,1495100,2024-08-09
4197,Normal/Others,"WS/MP001/2024-2025/133639-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Construction work of PCC Road 4 Main Gate to The canteen in the premises of Gangadevi Mahila College in wardno-35 Under Kumhrar of Patna District,2024-07-17,1498259,2024-08-23
4198,Normal/Others,"WS/MP001/2024-2025/133640-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Construction work of PCC Road 5The Canteen in the Premises of Gangadevi Mahila College in ward no-35 Under Kumhrar of Patna District,2024-07-17,1497989,2024-08-23
4199,Normal/Others,"WS/MP001/2024-2025/133642-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Construction work of PCC Road 1 T.O.P Police both to shivnandan Girls hostel in the premises of Gangadevi Mahila College in ward no-35 Under Kumhrar of Patna Distict,2024-07-17,1497809,2024-08-23
4200,Normal/Others,"WS/MP001/2024-2025/133643-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Construction work of PCC Road 2Hostel to Vigyan bhawan in the premises of Gangadevi Mahila College in ward no-35 under Kumhrar of Patna District,2024-07-17,1498379,2024-08-23
4201,Normal/Others,"WS/MP001/2024-2025/133644-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Construction work of PCC Road 3 Vigyan Bhawan to Examination Hall in the Premises of Gangadevi Mahila College in ward no-35 under Kumhrar of Patna District,2024-07-17,1498187,2024-08-23
4202,Normal/Others,"WS/MP001/2024-2025/133645-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Construction work of PCC Road 4 Sudhansu Bhushan House to the main road via PNB Bank in sector 4 in ramnagari under digha of Patna District,2024-07-17,990400,2024-09-05
4203,Normal/Others,WS/MP108/2024-2025/133667-Development of public parks,Maharashtra,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),Elected MP,NA,2024-07-18,500000,2024-09-20
4204,Normal/Others,"WS/MP096/2024-2025/133668-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Shri Abdul Wahab (2021-27) (2021-2027),Elected MP,"Construction of Palad -Kalamkunnu Road /pathway, Ward No. 17, Vazhikkadavu Panchayat",2024-07-18,487095,2024-08-29
4205,Normal/Others,"WS/MP889/2024-2025/133669-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029),Elected MP,Work of CC Road from Dharamsala to Rawalvas in Desaivas at Nandotra village (2023-24),2024-07-18,500000,2024-08-22
4206,Normal/Others,"WS/MP889/2024-2025/133670-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Gujarat,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029),Elected MP,Work of flood protection wall to prevent erosion from Dharamshala to Rawalvas in Desaivas at Nandotra village (2023-24),2024-07-18,250000,2024-08-22
4207,Normal/Others,WS/MP188/2024-2025/133671-Development of playfields and sports grounds,Uttar Pradesh,SHAMLI(DISTRICT MAGISTRATE SHAMLI_IDA),Shri Jayant Chaudhary (2022-28) (2022-2028),Elected MP,This amount is being released on top of the earlier released funds for the construction of a tinshed arena (80ft x 50ft) in Chaudhary Ratan Podiya Khel Parishar (Yuva Shakthi Kaniyan) on their kabaddi ground. This additional amount is being sent due to the new estimate shared by the district authorities as seen in the attached letter.,2024-07-18,1299469,2024-08-07
4208,Repair and Renovation,WS/MP132/2024-2025/133704-Construction of additional rooms and halls in the existing public and community building,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Shri Manas Ranjan Mangaraj (2022-28) (2022-2028),Elected MP,"Construction of Additional Building and Renovation in Odisha Kendupatra Karmachari Sangha State Office. Regd No. 415, Biswanath Bhawan, VIP Colony, IRC Village, ND- 18, Nayapalli, Bhubaneswar- 751015",2024-07-19,1000000,2024-11-18
4209,Normal/Others,"WS/MP084/2024-2025/133707-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri Jaggesh (2022-28) (2022-2028),Elected MP,"Road Development work at Gangondanahalli village, Madanayakanahalli city Municipal council, Yelahanka Assembly, Bangalore North Taluk, Bengaluru Urban District.",2024-07-19,3500000,2024-12-07
4210,Normal/Others,"WS/MP084/2024-2025/133708-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri Jaggesh (2022-28) (2022-2028),Elected MP,"Road Development work at K.G.Lakkenahalli village, Madanayakanahalli city Municipal council, Yelahanka Assembly, Bangalore North Taluk, Bengaluru Urban District.",2024-07-19,3500000,2024-12-07
4211,Normal/Others,"WS/MP084/2024-2025/133709-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri Jaggesh (2022-28) (2022-2028),Elected MP,"Road Development Work of B.G.S Main Road, Nagarur Village, Dasanapura Gram Panchayat, Yelahanka Assembly, Bengaluru North, Bengaluru Urban District.",2024-07-19,3500000,2024-12-07
4212,Normal/Others,WS/MP084/2025-2026/133710-Construction of buildings for community cultural activities,Karnataka,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri Jaggesh (2022-28) (2022-2028),Elected MP,"Construction of Building (Rangamandira)for community cultural activities at Hesaraghatta Village, Yelahanka Assembly, Yelahanka Taluk, Bengaluru Urban District.",2024-07-19,2499396,2025-04-09
4213,Normal/Others,"WS/MP001/2024-2025/133727-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,"1Mahendra Prasad House to Lalan bihari house in Phulwari Municipal ward no-28 under Phulwarisarif of Patna District (Estimated Amount 14,99,500/-(Fourteen Lakhs ninty nine thousand five hundred only",2024-07-19,1493349,2024-08-09
4214,Normal/Others,WS/MP235/2024-2025/133732-Purchase of motor boats for flood and cyclone prone areas,Punjab,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,Water boat for Village (Gram Panchayat) - Darveshe Ka (Palha Megha),2024-07-19,1000000,2024-07-22
