"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"307","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2024-2025/163615","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","03-Jul-2026","PATDI","Payment In-Progress","120000"
"308","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272770","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","25-Aug-2026","EMF","Payment In-Progress","259"
"309","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272840","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","21-Aug-2026","EMF","Payment In-Progress","117"
"310","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/182265","BOUDH(District Collector Boudh_IDA)","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","17-Aug-2026","EMF","Payment In-Progress","383"
"311","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/206433","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","28-Aug-2026","S MEYYAPPAN","Payment In-Progress","597193"
"312","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/257055","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","20-Aug-2026","omparkash","Payment In-Progress","294063"
"313","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/206535","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","29-Aug-2026","BRIENSHI SONOWAL","Payment In-Progress","93422"
"314","Jharkhand","Construction of buildings for community cultural activities","WS/MP433/2025-2026/194240","GIRIDIH(Deputy Commissioner Giridh_IDA)","Annpurna Devi","KODARMA","06-Jul-2026","EXECUTIVE ENGINER NREP GIRIDIH","Payment In-Progress","498197"
"315","Jharkhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP433/2025-2026/194459","GIRIDIH(Deputy Commissioner Giridh_IDA)","Annpurna Devi","KODARMA","19-Jun-2026","EXECUTIVE ENGINER NREP GIRIDIH","Payment In-Progress","300000"
"316","Gujarat","Installing tube-wells and borewells","WS/MP18055/2026-2027/275223","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","21-Aug-2026","VAJEWAL grampanchayat","Payment In-Progress","149494"
"317","Gujarat","Providing supply pipelines for drinking water","WS/MP18055/2026-2027/275241","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","17-Aug-2026","UMBA grampanchayat","Payment In-Progress","249332"
"318","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP468/2025-2026/235862","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","21-Aug-2026","GOVIND DAS ARYA","Payment In-Progress","124826"
"319","Uttarakhand","Purchase of training equipment","WS/MP477/2026-2027/290927","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","19-Aug-2026","MS MEENAKSHI HARDWARE","Payment In-Progress","187900"
"320","Uttarakhand","Purchase of training equipment","WS/MP477/2026-2027/290927","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","19-Aug-2026","MS MEENAKSHI HARDWARE","Payment In-Progress","79200"
"321","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP435/2025-2026/228366","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Sanjay Seth","RANCHI","28-Aug-2026","AMIT KUMAR","Payment In-Progress","62675"
"322","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP433/2025-2026/230251","GIRIDIH(Deputy Commissioner Giridh_IDA)","Annpurna Devi","KODARMA","15-Jun-2026","EXECUTIVE ENGINER NREP GIRIDIH","Payment In-Progress","299050"
"323","Jharkhand","Construction of platforms and passenger sheds at railway stations","WS/MP433/2025-2026/230253","GIRIDIH(Deputy Commissioner Giridh_IDA)","Annpurna Devi","KODARMA","15-Jun-2026","EXECUTIVE ENGINER NREP GIRIDIH","Payment In-Progress","200000"
"324","Arunachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP533/2025-2026/226046","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","26-Mar-2026","Subansiri Traders Ziro","Payment In-Progress","500000"
"325","Arunachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP533/2025-2026/226046","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","26-Mar-2026","Subansiri Traders Ziro","Payment In-Progress","500000"
"326","Arunachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP533/2025-2026/226046","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","26-Mar-2026","Subansiri Traders Ziro","Payment In-Progress","500000"
"327","Arunachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP533/2025-2026/226046","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","26-Mar-2026","Subansiri Traders Ziro","Payment In-Progress","500000"
